,Job Title,Job Location,Job Company,Search Engine,Lat,Lng
0,Financial and Business Data Analyst,Adelaide,Brentnalls SA,Brentnalls SA Adelaide,-34.9036296,138.5705199
1,Graduate Data Analyst & Programmer,Gold Coast,Tebbutt Research,Tebbutt Research Gold Coast,-27.9705906,153.4131154
2,Data Analyst/Manager,Sydney,Finite IT Recruitment Solutions,Finite IT Recruitment Solutions Sydney,-33.8667039,151.2083246
3,Data Analyst,Sydney,Naviro,Naviro Sydney,-33.863527,151.20763
4,Data Analyst,Sydney,Quay Appointments,Quay Appointments Sydney,-33.8640062,151.2064333
5,Senior Data Analyst,Sydney,Ethos BeathChapman,Ethos BeathChapman Sydney,-33.8640033,151.2065104
6,Data Analyst,Melbourne,Department of Justice and Community Safety,Department of Justice and Community Safety Melbourne,-37.812732,144.970403
8,Senior Data Analyst,ACT,Talent Street,Talent Street ACT,-35.3204843,149.0973561
9,Scientist (Data Analyst),Southern Highlands & Tablelands,"Department of Planning, Industry and Environment","Department of Planning, Industry and Environment Southern Highlands & Tablelands",-34.4249117,150.8988125
11,APS6 Policy/Data Analyst,ACT,First People Recruitment Solutions Pty Ltd,First People Recruitment Solutions Pty Ltd ACT,-35.278741,149.128795
12,Data Analyst Visualisation Specialist,ACT,Paxus,Paxus ACT,-35.2762871,149.128529
13,Senior Data Analyst,ACT,Recruitment Hive,Recruitment Hive ACT,-35.3429461,149.2451144
14,"Technical Data Analyst, Actuarial",Melbourne,MLC Life Insurance,MLC Life Insurance Melbourne,-37.8084117,144.9533527
15,Data Analyst,Melbourne,SANE Australia,SANE Australia Melbourne,-37.7981609,144.9581555
16,Data Analyst,Melbourne,The Royal Aust and NZ Coll of Obstetricians and Gynaecologists,The Royal Aust and NZ Coll of Obstetricians and Gynaecologists Melbourne,-37.810043,144.982608
17,Data Analyst,ACT,Peoplebank Australia ACT,Peoplebank Australia ACT ACT,-35.277428,149.128305
18,Data Analyst Visualisation Specialist,ACT,MTP Services,MTP Services ACT,-35.3247554,149.1672246
19,APS6 Policy Data Analyst,ACT,Karlka Recruiting Group,Karlka Recruiting Group ACT,-27.6539981,153.1653199
20,Policy/Data Analyst - APS6,ACT,Ignite,Ignite ACT,-35.3168055,149.1462475
21,Data Analyst - Finance Systems,Sydney,SustainAbility Consulting,SustainAbility Consulting Sydney,-33.86440839999999,151.204623
22,Operations /Data Analyst,Sydney,Credit Corp Group Limited,Credit Corp Group Limited Sydney,-33.86392,151.2036263
23,"Data, Measuring and Evaluation Coordinator - Backbone Team",Alice Springs & Central Australia,Barkly Regional Council,Barkly Regional Council Alice Springs & Central Australia,-19.6463678,134.1963555
24,Data Analyst - ASO4,Adelaide,Randstad Professionals,Randstad Professionals Adelaide,-34.9245402,138.6008465
25,APS6 Policy/Data Analyst,ACT,SOS Recruitment,SOS Recruitment ACT,-35.337949,149.180661
